Name,State,Region/Service Area,Geographic Context,Operator,System Type,Technology Vendor,Booking Method(s),Scheduling Window,Fare,Service Hours,Launch Year,Funding Source,Status/Maturity,Fleet,Ridership/Performance Notes,Website URL,Latitude,Longitude,Source
TeleLift (North Fork Area Transit),NE,"Norfolk, Madison, Meadow Grove, Newman Grove, and Battle Creek, NE (Madison County); service reduced to Norfolk city limits as of July 2025 per a 30% state-funding cut",Rural,North Fork Area Transit,Demand-Response,Not specified,Phone,"Same-day (first-come-first-serve, may not always be available); 24hr advance recommended",In-town fares start at $2.00 with 24-hour advance reservation; higher fares for county trips and same-day requests,"Mon-Fri 7:00 AM-5:00 PM (hours effective July 1, 2025; reservation line Mon-Fri 8:00 AM-4:00 PM)",Not specified,"City of Norfolk, Norfolk United Way, Northeast Community College, local business sponsors, and Nebraska state funding (reduced ~30% per a 2025 service-hours notice)",Active,Not specified,General-public dial-a-ride operating 3 routes/74 stops within a 30-mile radius of Norfolk; no senior/disability eligibility restriction found. Also operates a separate Regional Flex Route 6 (Norfolk-Wayne) which is a fixed-route-with-deviation service and is NOT included here as it fits this project's route-deviation exclusion.,https://northforkareatransit.com,42.0283,-97.4170,Deep sweep NE
North Platte Public Transit,NE,"City of North Platte, NE and a 20-mile radius (incl. Lake Maloney, Indian Hills, Sutherland, Hershey, Maxwell)",Rural,City of North Platte,Demand-Response,Not specified,Phone,Flexible,"$1.50-$2.00 one-way in-city with advance reservation; $4.00 for same-day reservation; $5.00-$10.00 per direction for extended/outside-city-limits trips (Sutherland, Hershey, Maxwell up to $10)",Mon-Sat (phone lines close 1 hour before end of service),Not specified,Not specified (City of North Platte sponsored),Active,Not specified,"General-public dial-a-ride ('available to everyone in North Platte and now anyone within a 20 mile radius'); offers both advance-reserved and same-day (higher-fare) trips, hence classified Scheduling Window = Flexible.",https://northplattene.gov/296/Public-Transit,41.1239,-100.7654,Deep sweep NE
Fremont Transit Program,NE,"City of Fremont, NE plus 2 miles beyond city limits (Dodge County)",Rural,City of Fremont,Demand-Response,Not specified,Phone,Same-day ($5 fare if space available); 48hr advance gets $2 discount fare,$2.00 one-way when reserved 48+ hours in advance; $5.00 for same-day or under-48-hour reservations,Mon-Fri 8:30 AM-4:00 PM,"Not specified (program described as launched 'September 7', year not confirmed)",FTA Section 5311 Rural Public Transportation grant,Active,Wheelchair-accessible vans,"Door-to-door demand-response explicitly described as available to 'the general public, older adults and persons with disabilities.' One secondary source's framing ('for people whose disabilities prevent them from using fixed-route bus') conflicts with the general-public framing found elsewhere on the same city site; the general-public eligibility language is treated as controlling here per project convention, but flagged for verification.",https://www.fremontne.gov,41.4333,-96.4981,Deep sweep NE
SpartaGo,SC,"Spartanburg northside and southside neighborhoods, City of Spartanburg",Urban,City of Spartanburg / Spartanburg Area Regional Transit Agency (SPARTA),Microtransit,Not specified,App,Same-day,$2.00 per rider (credit or debit card only),"6:00 AM-6:00 PM, seven days a week",2025,"State (mass transit funds, vehicle purchase); Federal (COVID-era federal transit funds, pilot operations)",Pilot,3 ADA-compliant Ford Transit chassis Mobilitytrans conversion vans,"App-based direct pickup/dropoff similar to Uber/Lyft, serving Spartanburg's northside and southside neighborhoods only (not citywide). One-year pilot with a six-month evaluation checkpoint. Vehicle purchase cost ~$344,803; estimated pilot program cost ~$334,442.",https://www.cityofspartanburg.org/m/NewsFlash/Home/Detail/80,34.9496,-81.9320,Deep sweep SC
Santee Wateree RTA On-Demand (Sumter),SC,"City of Sumter, SC (former Routes 50, 60, 100 corridors: West Liberty St., South Main St., East Liberty St.)",Urban,Santee Wateree Regional Transportation Authority (SWRTA),Demand-Response,Not specified,Phone,Same-day,$1.00 per trip; free on Fridays,Monday-Friday 6:00 AM-6:00 PM (same-day reservation cutoff 4:00 PM),Not specified,Not specified,Active,Not specified,"Replaced three former fixed routes with a call-ahead, designated-stop on-demand zone service in Sumter (confirmed via SWRTA's own Facebook post; no eligibility restriction stated). SWRTA's separate services page describes a broader 'demand response' offering in Kershaw/Lee/Sumter counties in vaguer terms ('county residents...on a space available basis as a cash passenger') without confirming booking method or fare — this row covers only the confirmed Sumter on-demand zone service; the broader county-wide program may warrant separate follow-up.",https://www.swrta.com/system-information,33.9204,-80.3414,Deep sweep SC
RPT GO,MN,"South Rochester, MN microtransit zone (bounded south of 12th St SE, west of 50th Ave SE, east of Badger Run Creek; hubs at Cub Foods SE, RCTC, Mayo High School, Quarry Hill Park, Fairgrounds Park & Ride; expanded 2026 to include Central Park)",Urban,Rochester Public Transit (City of Rochester),Microtransit,"Spare (Spare Labs) -- inferred from Google Play package name com.sparelabs.platform.rider.rptgo, not independently confirmed on the city's own site",App,Same-day,$3.00 per ride; free for children under 5,Not specified,2024,Not specified,Active - Expanding,"Electric mid-size SUVs and hybrid-fuel vans, wheelchair accessible","Launched October 2024 as a one-year pilot (through September 2025); pilot concluded on schedule and the city expanded the zone afterward rather than ending it, per a March 2026 service update. Distinct from Rochester's ZIPS Paratransit, which is eligibility-restricted to riders with disabilities and out of scope.",https://www.rochestermn.gov/streets-parking-transit/transit/,44.0121,-92.4802,Deep sweep MN
goMARTI,MN,"20-square-mile Grand Rapids, MN service area with ~70 pickup/dropoff points; by 2025 expanded to connect Grand Rapids with rural and tribal communities along Highway 2",Rural,"City of Grand Rapids / Minnesota Department of Transportation (MnDOT), public-private partnership",Microtransit,Via (goMARTI 2.0 platform); originally launched on May Mobility's autonomous-vehicle platform,"App, Phone ((218) goMARTI)",Same-day,Free,"Monday-Saturday 10:00am-9:00pm, Sunday 8:00am-3:00pm (subject to change for weather/maintenance)",2022,"State (MnDOT), Local (City of Grand Rapids), Private (May Mobility, The PLUM Catalyst partnership)",Active - Expanding,"9 vehicles: autonomous shuttles (May Mobility) with onboard human safety operator, plus electric vans (Volkswagen ID.Buzz being tested); 5 of 9 equipped with wheelchair ramps","Launched October 2022 as one of the first rural/tribal-community autonomous-vehicle transit pilots in the US; original 18-month pilot passed a 10,000-rider milestone and a later count cited 35,000 total rides; evolved into ""goMARTI 2.0,"" combining AV shuttles with conventional electric-van service and expanding toward rural/tribal communities along Highway 2. MnDOT's 2025 CGMC presentation on goMARTI 2.0 could not be text-extracted (PDF rendered as binary/encoded) -- worth a follow-up read for expansion specifics.",https://gomarti.com,47.2372,-93.5300,Deep sweep MN
STA Link,WA,"Spokane County, WA — planned pilot zones: North Spokane Valley, Latah Valley, Liberty Lake, West Plains, Northeast Spokane (incl. Mead)",Suburban,"Spokane Transit Authority (contracted operator: Direct Medical Transportation, Inc.)",Microtransit,Spare,"App, Web, Phone",Same-day,"Expected to mirror STA standard bus fare (~$2.00 standard, $1.00 reduced) — not yet finalized at time of research",Not specified,"2026 (planned, fall 2026 launch; not yet operating at time of research)",Local (Spokane Transit Authority; flat hourly rate contract with operator),Planned/Pilot,Not specified,"Announced mobility-on-demand pilot supplementing STA's fixed-route and ADA paratransit service, part of the Connect 2035 strategic plan; riders matched into shared rides of 1-5 passengers; includes a separate accessible-van overlay for seniors/mobility-impaired riders alongside the general-public service. Not yet launched as of this research (cleared for fall 2026 launch beginning with North Spokane Valley and Latah Valley zones).",https://www.spokanetransit.com/press-releases/sta-link-on-demand-transit-pilot-cleared-for-fall-launch/,47.6588,-117.4260,Deep sweep WA
The Current (C-TRAN),WA,"Clark County, WA — zones: WSU Vancouver/Salmon Creek, Rose Village, Camas/Washougal, Port of Vancouver, Ridgefield/La Center, Battle Ground",Suburban,C-TRAN,Microtransit,Spare Labs,"App, Web (book.ridethecurrent.com), Phone",Same-day,$1.50 adult; $0.75 honored; free for youth 18 and under (Youth Opportunity Pass),"Most zones: weekdays 5:30am-7:00pm, weekends 8:00am-6:00pm; Port of Vancouver weekdays only 5:30am-7:00pm",Not specified,Not specified,Active,Not specified,"Point-to-point on-demand rideshare at bus-fare cost; riders arrive 5 minutes early, drivers wait up to 2 minutes; Hop Fastpass or cash accepted.",https://c-tran.com/thecurrent,45.6387,-122.6615,Deep sweep WA
Kitsap Transit On-Demand (Ride Pingo),WA,"Kitsap County, WA — zones: BI Ride (Bainbridge Island), Kingston Ride + Fast Ferry Commuter, SK Ride (South Kitsap), Purdy Ride, Nollwood Dial-A-Ride",Suburban,Kitsap Transit,Microtransit,The Routing Company (Ride Pingo app),"App (Ride Pingo), Phone",Same-day,"$2.00 general public; $1.00 seniors (62+), people with disabilities, youth (17 and under)",Varies by zone; SK Ride weekdays only; other zones include weekend/Sunday on-demand service,2021,Not specified,Active,Not specified,"Kitsap Transit was reported as the first US transit agency to launch a paid pilot with The Routing Company (2021); on-demand or up-to-7-days-advance booking available depending on zone; Kingston Ride Fast Ferry Commuter variant requires booking by 4pm the day before. Combines several named on-demand zones under one shared app/program, similar in structure to King County Metro Flex and Community Transit Zip Shuttle, both already in this database as single multi-zone rows.",https://www.kitsaptransit.com/service/routed-buses/on-demand-dial-a-ride-services,47.5673,-122.6329,Deep sweep WA
CONNECT (Ben Franklin Transit),WA,"Tri-Cities, WA — zones: Central Kennewick & Finley, Columbia Center & South Richland, West Richland & Badger Mountain, Central Richland, West Pasco, East Pasco",Suburban,Ben Franklin Transit (Via/Nomad Transit LLC),Microtransit,Via,"App, Phone",Same-day,$1.50 per ride; first two rides free for new users; 10-ride tickets and monthly/senior/youth/veteran passes accepted,Weekdays 5:45am-10:15pm; Saturdays 6:45am-10:15pm; Sundays 7:45am-6:45pm,Not specified,"State (Washington Climate Commitment Act), Local (Ben Franklin Transit)",Active,Not specified,On-demand rideshare connecting riders to BFT's fixed-route network across 6 zones; 3-hour transfer window with fixed-route service.,https://www.bft.org/connect-via-tricities/,46.2112,-119.1372,Deep sweep WA
HarborFlex (Dial-A-Ride),WA,"Grays Harbor County, WA — Montesano, Elma, Westport, Tokeland (weekdays), Ocean Shores (weekdays and weekends)",Rural,Grays Harbor Transit,Demand-Response,Not specified,"App, Phone",Same-day (1hr min notice),Not specified,"Varies by zone, approx. 7:30am-5:15pm; excludes 6 federal holidays",Not specified,Not specified,Active,Not specified,HarborFlex brand combines a certified ADA paratransit service with a general-public dial-a-ride (successor to the former 'Dial-A-Ride'); only the general-public dial-a-ride component is in scope here — trips bookable up to a week in advance via app or dispatch phone line.,https://ghtransit.com/harborflex/,46.9765,-123.6015,Deep sweep WA
Cowlitz Tribe Transit Service,WA,"South Lewis County (Centralia area) and Cowlitz County, WA — up to 20 miles from the I-5 corridor",Rural,Cowlitz Indian Tribe Department of Transportation,Demand-Response,Not specified,Phone,Advance,Not specified,Mon-Fri 7:00am-6:00pm (office hours 8:00am-4:30pm),Not specified,Not specified,Active,Wheelchair-accessible (lift-equipped),"Door-to-door dial-a-ride explicitly open to general public rural residents in the service area (not restricted to enrolled tribal members); rides for medical appointments, shopping, and quality-of-life trips; should be scheduled a few days in advance.",https://www.cowlitz.org/transit,46.1382,-122.9382,Deep sweep WA
katConnect,TN,"North Knoxville — Holston Ridge, Cassell Ridge, and Elk Hill Way apartment complexes, feeding Routes 12 and 20",Suburban,Knoxville Area Transit (KAT),Microtransit,Transit App,"App, Phone",Same-day,Starting at $1.00,Not specified,2024,Not specified,Active,Not specified,Not specified,https://www.katbus.com/schedules-maps/micro-transit/,36.03,-83.91,Deep sweep TN
CARTA GO,TN,"Chattanooga — Enterprise South/Amnicola Highway corridor (Route 25 weekend alternative), expanding to East Chattanooga/Route 10 corridor Aug 2026",Suburban,Chattanooga Area Regional Transportation Authority (CARTA),Microtransit,Not specified,App,Same-day,$2.00 one-way ($0.25 discount for in-app card payment),Not specified,2026,Not specified,Active - Expanding,Not specified,Not specified,https://www.gocarta.org/routes-schedules/carta-go/,35.05,-85.24,Deep sweep TN
